Fecha,Título,Descripción,Rating,Fuente,País,Estado USA
2022-04-01,The customer service is lousy.,The customer service is lousy. Took close to one year to have work completed. The project was changed from having 3 power walls to 2 and yet they raised the price. Impossible to speak to anyone with any knowledge or authority. They just tell you to go to the website and read the contract.,1,Bestcompany,,NY
2019-02-06,Sales rep got me all,"Sales rep got me all excited about getting tesla panels, I disclosed to them that the type of roof I have was asphalt before hand and that I was in the process on getting a new roof. They sent their contractor to inspect my roof and attic. He was there for about 10 min just to tell me that my roof wasn't qualify for solar panels. I told him to how can he tell when he didn't even bother to go on top of my roof. He responded by telling me that they are not allowed to on a asphalt type of roof....the next day I called Sunpower,  they qualified my roof with no problem....Thx SunPower",1,Bestcompany,,CA
2019-02-06,"Customer service is non existent,","Customer service is non existent, don’t do business with them",1,Bestcompany,,MD
2023-01-04,We have planned on Tesla,"We have planned on Tesla panels being installed since summer 2022, speaking (only by text) with the Tesla team from California was difficult. Once a date for installation was set, we spoke (actual phone calls) to the actual installation team from Albany, NY. They had to drive 2 hours to get to our home. They were fantastic! Polite, knowledgeable, hard working men who knew the facts of installing solar panels during a New York winter!! They drove through bad weather, They had to shovel our roof twice. They had to work in our attic, not once did they leave any mess, they insisted on vacuuming and moving items that they thought might be in our way. They kept us updated on every step of the installation, and what to expect that would be coming next. ",5,Consumeraffairs,,NY
2022-08-06,Great experience all around. No,Great experience all around. No high pressure sales tactics like other Solar companies. Offered better solar array size for the cost as compared to others. Was able to ask questions and get help when needed through the site or calling my project manager. They did all the proper permitting (city and county) and all that I needed to do was submit HOA paperwork.,5,Consumeraffairs,,VA
2022-06-30,"When I first contacted Tesla,","When I first contacted Tesla, it went crazy fast. Got the inspection and ready for the next steps. But when I tried to contact them (only way to do this is via the website, there's no phone number to call) it would take 1 to 2 weeks to get a response. Things went quiet then for months, but I attributed this to the parts shortage that I knew everyone was experiencing so I wasn't too concerned.",4,Consumeraffairs,,MA
2022-03-10,I finally went with the,"I finally went with the Tesla Solar Roof (tiles not panels) and I couldn't be happier. I needed a new roof anyway so decided to get it with 2 PowerWall backup batteries. The product looks amazing and IMO is the best looking solar product on the market right now. You cannot tell you have solar tiles at all. From a distance it looks like slate. Very smart. The install crew were amazing! They battled bad weather including freezing temps, rain, wind and snow in NJ in Feb/March! It did not deter them, and they got it done on time and were communicative the whole time. Shout out to Martin ** & Jimmy ** and their whole crew! Their electricians are also very detail oriented and do a great job of hiding things as best they can. The Powerwalls work seamlessly and the app showing usage is mesmerizing. You cannot tell when you are on battery versus, solar versus grid. No flickering, stuttering or anything. Just seamless power delivery. Highly impressive!",5,Consumeraffairs,,NJ
2022-02-07,Our Tesla Solar system has,"Our Tesla Solar system has been an adventure for us. I am very happy that we went with Tesla even though there are improvement areas they need to address, especially related to consumer experience. We absolutely love the look of the Tesla solar panels (nobody else comes close) and the features of the Powerwall+ equipment (best API in the industry which makes it expandable). In typical Tesla fashion, the design is stunning, next level technology and feels like quality. With our Tesla system, we are now powering our home with an ancient but reliable and self-regulating, thermonuclear fusion reactor… our sun. It is performing extremely well and we are looking forward to many years of green energy.",4,Consumeraffairs,,CA
2023-01-10,We purchased solar panels from,"We purchased solar panels from Solar City. Solar City is now Tesla. The panels have not offset our energy bill. We pay less for electric when the panels are off. The panels malfunctioned in August of last year. The only way someone would respond to us is by not paying the monthly bill. We now owe 650, and our roof is damage under one of the panels. We just want them to take them away. I can't blame them for the faulty panels but they purchased the company so they are responsible for their customers.",1,Consumeraffairs,,MD
2023-01-10,I would have given zero,"I would have given zero stars but can't. I originally purchased my solar system through Solar City in 2016 which was soon purchased by Tesla. Last year my roof was damaged by a hailstorm which caused a massive leak and needed replacement. It took 2 weeks for an actual person to contact me from Tesla about having my panels removed so the shingles could be removed and replaced. It was going to have to wait 9 months before they could have someone out to remove the panels, so the roofing company removed the panels and reinstalled them. ",1,Consumeraffairs,,AZ
2022-12-15,I installed Tesla rent solar,"I installed Tesla rent solar panels in my home 5 years ago. It is a nightmare. Do never get their rental installation. They took 18 months to fix some damaged panels, in the middle time they are taking my money from my account, per contract, but they don't deliver service. You end up paying double electric bill. DO NOT INSTALL SOLAR panels, and Tesla is the worst. Bad customer service, 2 hours waiting on the phone. They lied when they said they are supposed to check the panels and fix it without me even knowing. And you get cursed for 20 years. I don't know how much they pay the people who review here. AMAZON people???? Consumer Affairs lost credibility.",1,Consumeraffairs,,TX
2022-11-29,The Tesla installation process was,The Tesla installation process was amazing. The onboarding process explaining how the system worked was great. The electrician explained every very well. We are very happy customers. We will be referring Tesla energy to all of our friends and colleagues.,5,Consumeraffairs,,CA
2022-11-29,Installation team - solar panels,"Installation team - solar panels and electrical teams - arrived on time, completed the installation and tested everything, explained how everything works. Cleaned up everything before leaving. Very pleased.",5,Consumeraffairs,,CA
2022-11-28,The price that Tesla offered,"The price that Tesla offered was great and the installation went smoothly, everything else has been a nightmare. No communications from my project advisor during the initial design phase, had to call Tesla numerous times to ask questions. Once installed, it took Tesla four times over seven months to file the application to the utility company correctly. Once utility approval was granted, found out that there was an issue with the system. It's now been four months with several visits from Tesla and they've been unable to fix it. I've had the panels on my roof for over a year now and they've never fully worked. I started a ticket with Tesla's resolution dept only for them to find out the approved utility application had incorrect kW amount, with very little help otherwise so far.",1,Consumeraffairs,,RI
2022-11-23,We just had the Tesla,"We just had the Tesla solar panels and a Powerwall installation this week after the Tesla employees visited the house twice, a design team planned the system, and the site survey team stating where everything would be mounted, what was needed, and how it would be done. Long story short, they made a mistake on the size of the system and after I voiced a concern, suddenly they ""adjusted"" the plans to be in the approximate output of what was needed. As we were also paying for a Powerwall, the site surveyor stated after taking pictures of Air Conditioning units, noting appliances, and that we had a pool, the design team recommended 1 Powerwall. They finished installation 3 days ago, and already by watching the Tesla App, I can see that 1 Powerwall is not enough.",1,Consumeraffairs,,NY
2022-11-22,"At the beginning of 2021,","At the beginning of 2021, when we moved to our current home, we obtained an online quote from Tesla solar. They gave us a preliminary estimate. They collected our electric bills and when spoken to customer support, we were told that the setup we will get should cover all of our utility needs. At the time, our electric bill was averaging $330 a month and that is why we wanted to install solar. We had a different company (Sunpower) in our older home. So, this was not our first solar experience. But, we opted to go with Tesla because they expressed guarantees to giving us optimal setup with the technology they had to cover our energy usage.",1,Consumeraffairs,,CA
2022-11-22,My Tesla app stopped reporting,"My Tesla app stopped reporting the usage for solar generation and consumption more than 4 months ago. I opened a ticket with them at that time. 4 months in and they have not done much to resolve my case. Every time they tell me that someone will call me next day, guess what? No call ever till I call them back. They sent a person to my home to fix it twice and both the times they gave a wireless extender saying that the signal is weak. It has not helped at all even with the solution they provided. They have been transferring me from one department to another for the past month and on calls for hours at a stretch. Customer service is so rude that they don't care about wasting customers' time and they are like you are talking to me now and I don't want to talk about why you were on the call for the past 2 hours and I can't help you with the problem as the order is in the system but don't know when it will be served.",1,Consumeraffairs,,CA
2022-11-20,Tesla was great to work,"Tesla was great to work with. Always responsive to emails and texts and they were critical in navigating and resolving issues with our local utility. The technicians who came to our house were professional, knowledgeable, and super helpful. They did a great job! The system and the app were well together. I love it and would highly recommend them to anyone interested in getting residential solar!",5,Consumeraffairs,,RI
2022-11-20,Installed solar with Solar City,"Installed solar with Solar City 10 years ago. Tesla picked up our service and we remit monthly payments to Tesla. We've been very happy with our decision to have solar on our house. We live in Colorado and get harsh hail storms from time to time. Recently we had to have the roof replaced, due to hail damage. Tesla service (or their subcontractor) scheduled and removed the panels pretty quickly, within 7-14 days. We had the shingles replaced and waited the 30-days they require before we contact them for the reinstallation. ",1,Consumeraffairs,,CO
2022-11-07,We had Tesla install solar,"We had Tesla install solar panels on our roof and a couple power walls in the garage. Everything worked great for a while but it suddenly stopped working. The app only says we are in ""Standby"" and it has not generated power since. I have reached out to Tesla support at least 3 times, each time we have been told they will let us know when they have someone who can check it out. It's been over a month with zero contact or follow-up. So we have a $50,000 paperweight in our garage and we are back to huge electric bills - in addition to the monthly payment to Tesla.",1,Consumeraffairs,,CA
2022-11-04,Had a great install by,"Had a great install by my Tesla team. Shaun, Michael and Steven were great friendly informative and skilled. I hope anyone going with Tesla gets a team as good as they were! Can be slightly hard to get ahold of Tesla prior to install. That’s the only thing they could work on!",5,Consumeraffairs,,FL
2022-11-02,I was soooo excited to,"I was soooo excited to get solar-and am a stock holder of Tesla---but wow----HUGE DISAPPONTMENT. BIG FLOP. They took my $250 deposit, after 50 emails, never refunded, never installed----pulled off the job due to their own incompetence, damaged my interior ceiling TWICE, paid for one repair but never paid for the second repair, AND there is no one to even get ahold of!!! Can you give a negative number for customer service? I am soooo disappointed in this company :( :( Janna ** in Tiburon, Ca.",1,Consumeraffairs,,CA
2022-10-28,Solar panel and Powerwall installation,"Solar panel and Powerwall installation today went smoothly! Alfred, Sean, Angel and crew were all super professional, courteous, and to task! I couldn’t ask for a better experience! I really appreciate their hard work, and the time they spent going over the system and app.",5,Consumeraffairs,,FL
2022-10-27,I love having tons of,"I love having tons of information that's easy to digest. I went on the Tesla website and had a quote at my fingertips in a matter of minutes. That quote price never changed, even after installation. I was able to fix my monthly payment by adjusting my downpayment and never had to speak to anyone. I was later contacted by a project advisor who set everything up for install. Not a single hiccup along the way. Once my system was installed and handed over to me a rep called within 10 minutes of the install guy leaving to schedule touch up work for the next day! Tesla operates like a well oiled machine, very impressive and highly recommended.",5,Consumeraffairs,,CA
2022-10-21,Had a great experience with,"Had a great experience with Tesla Energy. I ordered my system (16.8kW panels and 2 powerwalls) in Dallas, TX, July 21st, and have the system installed less than 3 months later (October 18th), including having to wait more than a month for HOA to approve the installation. Yes, it's hard to get someone on the phone, but the support via the website and chat work great (I had some back and forth on my design, which would normally be changed within 1-2 days, and some occasional questions which quickly got answered), the equipment is great, the price is way better than anything I got from other companies, and the install crew (Tesla employees) was very professional and friendly. System is operating without PTO, which should take another month or so. Definitely would recommend to anyone looking into solar!",5,Consumeraffairs,,TX
2022-10-21,132 days since the system,"132 days since the system was installed, they lost my utility's work order number, sent paperwork to my town building and electrical inspector but had my address wrong, I've had to step in to get paperwork done and no idea when we will get the permission to operate so we can turn on the system. The installation team was great but since then it's been radio silence and it seems the only way next steps are completed by Tesla is by my reaching out to get them moving. Once the installation was completed, the phone number I called prior so that I could talk with a human being wound up turning into a recorded line telling me that I had to log into my account online and either start a chat with a project advisor or schedule a call for a later date to talk to a human.",1,Consumeraffairs,,MA
2022-10-20,Our Tesla solar panel installation,"Our Tesla solar panel installation crew provided excellent professional service. They were professional, courteous, diligent and neat. The panels were installed over 4 days and the crew completed the job and reviewed the system thoroughly.",5,Consumeraffairs,,NC
2022-10-17,I placed my first Tesla,"I placed my first Tesla Solar application on 06-12-2022. Within few days design team provided proposed panels design for approval. Design was based on old satellite imaginary of my house and was completely unacceptable because we did recent remodeling. I contacted Tesla Solar Project advisor and explain him all. He said (quote!): ""that Tesla will fly satellite over my house to make a new images tomorrow or day after tomorrow"". On 06-22-22 I got cancellation email that they are not able to complete the installation at this time. I tried to reach out to team for explanation but did not receive any response.",1,Consumeraffairs,,CA
2022-10-17,Tesla came out and removed,"Tesla came out and removed a Solar City panel with one of their own, along with some new panels. Ever since then, we have been losing power in our home. We have had an electrician and the utility company come out and they all say the same thing. Even a Tesla electrician came out and said that whoever installed the panel, should have combined the panels and he will have someone come out and do that. Now Tesla is refusing to do it, saying we have to hire an electrician to do something they should have done in the first place. Lousy service. Just spoke to a rude representative ""Elizabeth"" who refused to let me speak to someone other than herself. I'm very disappointed in Tesla.",2,Consumeraffairs,,CA
2022-10-17,I got my roof solar,"I got my roof solar panels through Tesla Energy in September 2020. The system worked fine for two years and in April, 2022 I got a notification from Tesla app that my panels are not producing any electricity. I reached out to customer support, followed multiple sessions of following their steps to restart the system but it did not fix the issue. I finally got a technician visit scheduled with a 3+ week date. The technician told me that the inverter was not working and need to be replaced. He offered me no dates on when they would have one for replacement. ",1,Consumeraffairs,,AZ
2022-10-09,The communication was excellent from,"The communication was excellent from the day one. Planning worked without a hiccup, they showed up as it was planned and installation was completed as it was stated. My system was up and running before they left the premises. The lead technician provided me with a good introduction to the app on the phone and some critical parts of the solar/powerwall system. My system has been generating enough energy as it was designed, my power bill is near zero. The most unbelievable part was the cost, which was the same at the end like the beginning., no change, go figure. Not like many others out there, you sign up for something and pay extra due to many excuses they find. Thank you Tesla.",5,Consumeraffairs,,FL
2022-10-05,From getting a quote to,"From getting a quote to final step of turning on the Solar and Tesla wall, my experience was super smooth. The staff that came on-site was professional, competent, and aware of the surroundings. It was a great experience.",5,Consumeraffairs,,CA
2022-09-29,Although a PPA for KWH,Although a PPA for KWH is much cheaper than your electric company the process for buying the system at fair market value after 5 years is a scam. Currently a more than comparable system for roughly 7K KWH system runs less than 19K for complete install and 25 year end to end warranty. The current system I have is outdated and when I asked to purchase the system they quoted 30K. This is for a system that does not have a microinverter system and used an outdated Solar City string inverter system. The contract clearly states that if I wish to buy out the system it would be sold at Fair Market Value determined by a third party.,1,Consumeraffairs,,CA
